lat,lon,crs,tas_anom
-88.5,-85.5,b'',6.053238
-88.5,-84.5,b'',6.0582156
-88.5,-83.5,b'',6.061336
-88.5,-82.5,b'',6.0670714
-88.5,-81.5,b'',6.0724435
-88.5,-80.5,b'',6.0748477
-88.5,-79.5,b'',6.077648
-88.5,-78.5,b'',6.083636
-88.5,-77.5,b'',6.0842643
-88.5,-76.5,b'',6.0931654
-88.5,-75.5,b'',6.093861
-88.5,-74.5,b'',6.100934
-88.5,-73.5,b'',6.109781
-88.5,-72.5,b'',6.11918
-88.5,-71.5,b'',6.116692
-88.5,-70.5,b'',6.1222577
-88.5,-69.5,b'',6.127191
-88.5,-68.5,b'',6.1357965
-88.5,-67.5,b'',6.1403036
-88.5,-66.5,b'',6.144232
-88.5,-65.5,b'',6.143433
-88.5,-64.5,b'',6.147596
-88.5,-63.5,b'',6.156526
-88.5,-62.5,b'',6.163227
-88.5,-61.5,b'',6.165839
-88.5,-60.5,b'',6.1699204
-88.5,-59.5,b'',6.1762166
-88.5,-58.5,b'',6.184806
-88.5,-57.5,b'',6.185238
-88.5,-56.5,b'',6.186231
-88.5,-55.5,b'',6.1912913
-88.5,-54.5,b'',6.19672
-88.5,-53.5,b'',6.2015147
-88.5,-52.5,b'',6.2021613
-88.5,-51.5,b'',6.209226
-88.5,-50.5,b'',6.2105436
-88.5,-49.5,b'',6.212576
-88.5,-48.5,b'',6.2164345
-88.5,-47.5,b'',6.2195473
-88.5,-46.5,b'',6.2267103
-88.5,-45.5,b'',6.228262
-88.5,-44.5,b'',6.2292695
-88.5,-43.5,b'',6.233059
-88.5,-42.5,b'',6.240451
-88.5,-41.5,b'',6.24185
-88.5,-40.5,b'',6.2464395
-88.5,-39.5,b'',6.250465
-88.5,-38.5,b'',6.2552114
-88.5,-37.5,b'',6.263386
-88.5,-36.5,b'',6.2631035
-88.5,-35.5,b'',6.264554
-88.5,-34.5,b'',6.269161
-88.5,-33.5,b'',6.273751
-88.5,-32.5,b'',6.2736835
-88.5,-31.5,b'',6.2829547
-88.5,-30.5,b'',6.281704
-88.5,-29.5,b'',6.2841773
-88.5,-28.5,b'',6.2904735
-88.5,-27.5,b'',6.2909074
-88.5,-26.5,b'',6.297286
-88.5,-25.5,b'',6.300716
-88.5,-24.5,b'',6.3030434
-88.5,-23.5,b'',6.304121
-88.5,-22.5,b'',6.304416
-88.5,-21.5,b'',6.3100767
-88.5,-20.5,b'',6.3182716
-88.5,-19.5,b'',6.3196397
-88.5,-18.5,b'',6.319275
-88.5,-17.5,b'',6.323166
-88.5,-16.5,b'',6.324244
-88.5,-15.5,b'',6.326747
-88.5,-14.5,b'',6.328864
-88.5,-13.5,b'',6.325607
-88.5,-12.5,b'',6.3292384
-88.5,-11.5,b'',6.3365917
-88.5,-10.5,b'',6.333074
-88.5,-9.5,b'',6.3302135
-88.5,-8.5,b'',6.330738
-88.5,-7.5,b'',6.3353233
-88.5,-6.5,b'',6.3331833
-88.5,-5.5,b'',6.3291097
-88.5,-4.5,b'',6.3311963
-88.5,-3.5,b'',6.34031
-88.5,-2.5,b'',6.3470387
-88.5,-1.5,b'',6.3480396
-88.5,-0.5,b'',6.347465
-88.5,0.5,b'',6.3468904
-88.5,1.5,b'',6.351988
-88.5,2.5,b'',6.3571796
-88.5,3.5,b'',6.354435
-88.5,4.5,b'',6.355554
-88.5,5.5,b'',6.355894
-88.5,6.5,b'',6.3521647
-88.5,7.5,b'',6.35556
-88.5,8.5,b'',6.3621855
-88.5,9.5,b'',6.3631973
-88.5,10.5,b'',6.362873
-88.5,11.5,b'',6.3639965
-88.5,12.5,b'',6.3659606
-88.5,13.5,b'',6.36833
-88.5,14.5,b'',6.364732
-88.5,15.5,b'',6.367918
-88.5,16.5,b'',6.3756447
-88.5,17.5,b'',6.3737154
-88.5,18.5,b'',6.371363
-88.5,19.5,b'',6.36928
-88.5,20.5,b'',6.370527
-88.5,21.5,b'',6.376418
-88.5,22.5,b'',6.370178
